기간	자치구	구분	합계	자동차 종류별	자동차 종류별	자동차 종류별	자동차 종류별	자동차 종류별	자동차 종류별
2016	노원구	부상자수	2,216	1,555	118	161	8	228	146
2016	은평구	발생건수	1,121	687	85	74	5	182	88
2016	은평구	사망자수	14	4	2	1	-	3	4
2016	은평구	부상자수	1,518	955	124	97	18	229	95
2016	서대문구	발생건수	1,135	748	106	73	1	139	68
2016	서대문구	사망자수	14	7	2	1	-	2	2
2016	서대문구	부상자수	1,566	1,094	130	106	1	167	68
2016	마포구	발생건수	1,768	1,277	119	90	3	170	109
2016	마포구	사망자수	15	8	2	1	-	4	-
2016	마포구	부상자수	2,605	1,935	178	165	3	201	123
2016	양천구	발생건수	1,493	995	86	122	2	135	153
2016	양천구	사망자수	12	7	1	1	-	1	2
2016	양천구	부상자수	2,056	1,459	100	160	2	173	162
2016	강서구	발생건수	1,691	1,066	168	103	3	171	180
2016	강서구	사망자수	13	4	1	2	-	3	3
2016	강서구	부상자수	2,230	1,454	239	142	4	196	195
2016	구로구	발생건수	1,511	981	111	113	-	201	105
2016	구로구	사망자수	9	4	-	2	-	1	2
2016	구로구	부상자수	2,139	1,468	148	145	-	262	116
2016	금천구	발생건수	799	496	71	87	2	97	46
2016	금천구	사망자수	15	7	2	5	-	1	-
2016	금천구	부상자수	1,133	759	97	110	2	116	49
2016	영등포구	발생건수	2,403	1,595	174	162	3	216	253
2016	영등포구	사망자수	22	12	3	2	-	3	2
2016	영등포구	부상자수	3,473	2,393	280	247	11	265	277
2016	동작구	발생건수	1,471	954	101	125	2	186	103
2016	동작구	사망자수	19	8	1	5	-	3	2
2016	동작구	부상자수	2,028	1,379	158	160	2	212	117
2016	관악구	발생건수	1,408	954	118	78	1	193	64
2016	관악구	사망자수	19	10	3	2	-	4	-
2016	관악구	부상자수	1,895	1,312	176	95	1	227	84
2016	서초구	발생건수	2,313	1,753	165	134	4	140	117
2016	서초구	사망자수	16	12	2	-	-	2	-
2016	서초구	부상자수	3,473	2,617	308	243	6	158	141
2016	강남구	발생건수	3,828	3,085	169	151	1	280	142
2016	강남구	사망자수	12	7	-	-	-	5	-
2016	강남구	부상자수	5,445	4,443	254	226	1	353	168
2016	송파구	발생건수	2,598	1,749	136	179	7	250	277
2016	송파구	사망자수	14	8	-	3	-	2	1
2016	송파구	부상자수	3,646	2,580	187	249	7	304	319
2016	강동구	발생건수	1,426	936	88	132	5	121	144
2016	강동구	사망자수	17	9	1	3	1	2	1
2016	강동구	부상자수	1,957	1,322	143	178	6	149	159
2017	합계	발생건수	38,625	25,733	2,629	2,875	77	4,287	3,024
2017	합계	사망자수	343	172	35	45	2	62	27
2017	합계	부상자수	53,810	37,425	3,846	3,878	114	5,202	3,345
2017	종로구	발생건수	1,190	777	93	76	1	178	65
2017	종로구	사망자수	13	10	-	1	-	1	1
2017	종로구	부상자수	1,689	1,177	144	87	1	213	67
2017	중구	발생건수	1,252	848	101	92	2	142	67
2017	중구	사망자수	4	1	1	1	-	1	-
2017	중구	부상자수	1,684	1,191	148	108	2	165	70
2017	용산구	발생건수	1,337	972	76	78	5	109	97
2017	용산구	사망자수	12	10	-	-	-	2	-
2017	용산구	부상자수	1,949	1,451	131	118	5	129	115
2017	성동구	발생건수	1,076	659	41	95	3	165	113
2017	성동구	사망자수	15	4	1	3	-	5	2
2017	성동구	부상자수	1,501	996	70	119	3	193	120
2017	광진구	발생건수	1,064	684	69	59	2	141	109
2017	광진구	사망자수	16	6	-	2	-	7	1
2017	광진구	부상자수	1,441	999	91	80	3	152	116
2017	동대문구	발생건수	1,718	1,026	113	171	5	264	139
2017	동대문구	사망자수	25	9	2	7	-	5	2
2017	동대문구	부상자수	2,139	1,360	131	201	7	299	141
2017	중랑구	발생건수	1,639	970	100	158	6	227	178
2017	중랑구	사망자수	6	3	-	1	-	1	1
2017	중랑구	부상자수	2,228	1,375	138	215	10	286	204
2017	성북구	발생건수	1,557	1,001	114	140	1	196	105
2017	성북구	사망자수	17	8	-	4	-	3	2
2017	성북구	부상자수	2,068	1,368	156	207	2	223	112
2017	강북구	발생건수	1,202	709	108	97	1	212	75
2017	강북구	사망자수	9	5	1	1	-	1	1
2017	강북구	부상자수	1,567	945	118	131	1	287	85
2017	도봉구	발생건수	944	589	73	77	4	121	80
2017	도봉구	사망자수	9	3	-	2	-	4	-
2017	도봉구	부상자수	1,239	797	104	100	6	148	84
2017	노원구	발생건수	1,499	1,013	111	98	6	155	116
2017	노원구	사망자수	11	8	1	-	-	2	-
2017	노원구	부상자수	2,055	1,432	154	141	13	187	128
2017	은평구	발생건수	1,067	666	94	69	1	134	103
2017	은평구	사망자수	12	3	4	1	-	4	-
2017	은평구	부상자수	1,489	995	135	89	1	164	105
2017	서대문구	발생건수	1,032	666	98	66	-	138	64
2017	서대문구	사망자수	8	3	2	1	-	1	1
2017	서대문구	부상자수	1,430	961	139	84	-	177	69
2017	마포구	발생건수	1,859	1,335	92	118	3	184	127
2017	마포구	사망자수	8	5	2	-	1	-	-
2017	마포구	부상자수	2,793	2,113	122	181	2	237	138
2017	양천구	발생건수	1,343	884	77	113	3	126	140
2017	양천구	사망자수	13	6	1	3	-	3	-
2017	양천구	부상자수	1,789	1,238	108	148	3	146	146
2017	강서구	발생건수	1,584	1,014	136	109	6	182	137
2017	강서구	사망자수	12	5	2	1	-	2	2
2017	강서구	부상자수	2,155	1,455	176	140	7	215	162
2017	구로구	발생건수	1,433	895	115	148	2	192	81
2017	구로구	사망자수	12	7	2	2	-	1	-
2017	구로구	부상자수	1,960	1,274	150	190	2	250	94
2017	금천구	발생건수	824	511	88	75	-	101	49
2017	금천구	사망자수	6	4	1	-	-	1	-
2017	금천구	부상자수	1,228	818	140	100	-	119	51
2017	영등포구	발생건수	2,386	1,553	177	211	4	214	227
2017	영등포구	사망자수	22	7	4	4	-	5	2
2017	영등포구	부상자수	3,519	2,351	354	307	6	255	246
2017	동작구	발생건수	1,409	906	118	93	3	180	109
2017	동작구	사망자수	20	8	2	3	-	4	3
2017	동작구	부상자수	2,043	1,384	166	116	7	210	160
2017	관악구	발생건수	1,251	800	93	87	1	193	77
2017	관악구	사망자수	11	8	1	1	-	1	-
2017	관악구	부상자수	1,659	1,102	118	105	1	250	83
2017	서초구	발생건수	2,361	1,810	151	157	6	122	115
2017	서초구	사망자수	21	16	3	-	1	-	1
2017	서초구	부상자수	3,548	2,765	262	237	9	145	130
2017	강남구	발생건수	3,469	2,807	126	154	3	226	153
2017	강남구	사망자수	19	13	1	2	-	3	-
2017	강남구	부상자수	4,959	4,099	196	210	3	281	170
2017	송파구	발생건수	2,758	1,766	170	197	5	281	339
2017	송파구	사망자수	23	14	3	1	-	2	3
2017	송파구	부상자수	3,805	2,549	247	270	9	350	380
2017	강동구	발생건수	1,371	872	95	137	4	104	159
2017	강동구	사망자수	19	6	1	4	-	3	5
2017	강동구	부상자수	1,873	1,230	148	194	11	121	169
2018	합계	발생건수	38,795	26,264	2,777	2,924	77	3,981	2,772
2018	합계	사망자수	304	150	38	41	2	39	34
2018	합계	부상자수	53,751	37,717	3,983	3,887	110	4,974	3,080
2018	종로구	발생건수	1,134	771	99	83	2	130	49
2018	종로구	사망자수	6	2	2	1	-	1	-
2018	종로구	부상자수	1,546	1,091	133	112	2	156	52
2018	중구	발생건수	1,128	778	112	80	-	97	61
2018	중구	사망자수	9	5	2	-	-	1	1
2018	중구	부상자수	1,506	1,086	148	88	-	116	68
2018	용산구	발생건수	1,330	1,006	64	65	-	109	86
2018	용산구	사망자수	14	9	-	2	-	3	-
2018	용산구	부상자수	1,852	1,445	81	93	-	124	109
2018	성동구	발생건수	1,143	718	57	127	4	140	97
2018	성동구	사망자수	9	3	-	2	-	3	1
2018	성동구	부상자수	1,561	1,052	67	165	4	166	107
2018	광진구	발생건수	1,108	751	56	69	1	118	113
2018	광진구	사망자수	10	6	1	1	-	-	2
2018	광진구	부상자수	1,474	1,030	77	94	2	146	125
2018	동대문구	발생건수	1,699	1,009	111	172	-	255	152
2018	동대문구	사망자수	14	7	-	5	-	1	1
2018	동대문구	부상자수	2,160	1,327	161	215	-	294	163
2018	중랑구	발생건수	1,565	972	106	145	4	215	123
2018	중랑구	사망자수	10	4	1	2	1	1	1
2018	중랑구	부상자수	2,135	1,412	126	183	4	276	134
2018	성북구	발생건수	1,427	908	105	128	-	203	83
2018	성북구	사망자수	14	7	1	2	-	3	1
2018	성북구	부상자수	1,980	1,318	153	174	-	247	88
2018	강북구	발생건수	1,216	746	112	92	2	181	83
2018	강북구	사망자수	13	7	3	1	-	-	2
2018	강북구	부상자수	1,633	1,006	125	124	2	276	100
2018	도봉구	발생건수	824	520	84	63	-	92	65
2018	도봉구	사망자수	6	1	3	-	-	-	2
2018	도봉구	부상자수	1,061	712	95	86	-	104	64
2018	노원구	발생건수	1,569	1,104	99	97	3	132	134
2018	노원구	사망자수	14	8	1	1	-	2	2
2018	노원구	부상자수	2,227	1,632	139	147	3	157	149
2018	은평구	발생건수	1,134	699	105	85	1	133	111
2018	은평구	사망자수	12	3	3	2	-	3	1
2018	은평구	부상자수	1,580	1,020	152	117	2	171	118
2018	서대문구	발생건수	1,033	672	101	71	1	132	56
2018	서대문구	사망자수	5	3	1	-	-	1	-
2018	서대문구	부상자수	1,403	951	132	98	1	155	66
2018	마포구	발생건수	1,671	1,197	106	103	5	141	119
2018	마포구	사망자수	11	4	3	-	-	2	2
2018	마포구	부상자수	2,429	1,806	157	140	8	176	142
2018	양천구	발생건수	1,428	976	101	132	3	112	104
2018	양천구	사망자수	11	6	-	-	-	3	2
2018	양천구	부상자수	1,939	1,327	152	189	3	140	128
2018	강서구	발생건수	1,502	988	152	101	1	155	105
2018	강서구	사망자수	11	4	1	2	1	2	1
2018	강서구	부상자수	2,208	1,472	259	127	-	230	120
2018	구로구	발생건수	1,532	960	130	179	2	177	84
2018	구로구	사망자수	13	5	4	-	-	1	3
2018	구로구	부상자수	2,129	1,375	169	234	3	252	96
2018	금천구	발생건수	932	616	77	80	3	106	50
2018	금천구	사망자수	6	3	-	2	-	-	1
2018	금천구	부상자수	1,326	861	161	114	3	137	50
2018	영등포구	발생건수	2,493	1,588	169	205	9	262	260
2018	영등포구	사망자수	22	9	2	5	-	1	5
2018	영등포구	부상자수	3,532	2,381	276	252	18	325	280
2018	동작구	발생건수	1,412	907	115	92	5	195	98
2018	동작구	사망자수	9	2	4	2	-	1	-
2018	동작구	부상자수	1,892	1,273	165	109	6	232	107
2018	관악구	발생건수	1,300	876	108	90	3	159	64
2018	관악구	사망자수	8	3	1	1	-	2	1
2018	관악구	부상자수	1,717	1,202	130	107	3	209	66
2018	서초구	발생건수	2,478	1,876	204	150	3	131	114
2018	서초구	사망자수	18	10	1	3	-	3	1
2018	서초구	부상자수	3,640	2,772	350	225	7	157	129
2018	강남구	발생건수	3,459	2,825	115	155	7	212	145
2018	강남구	사망자수	20	11	3	3	-	2	1
2018	강남구	부상자수	4,967	4,158	154	216	10	263	166
2018	송파구	발생건수	2,860	1,884	178	225	11	277	285
2018	송파구	사망자수	27	20	-	3	-	3	1
2018	송파구	부상자수	3,932	2,709	259	307	19	327	311
2018	강동구	발생건수	1,418	917	111	135	7	117	131
2018	강동구	사망자수	12	8	1	1	-	-	2
2018	강동구	부상자수	1,922	1,299	162	171	10	138	142
2019	합계	발생건수	39,258	25,262	2,959	3,205	88	4,759	2,985
2019	합계	사망자수	250	111	27	35	-	50	27
2019	합계	부상자수	53,904	36,031	4,229	4,197	125	6,010	3,312
2019	종로구	발생건수	1,133	732	120	79	1	138	63
2019	종로구	사망자수	6	2	-	1	-	2	1
2019	종로구	부상자수	1,559	1,027	182	106	1	173	70
2019	중구	발생건수	1,184	764	122	84	1	148	65
2019	중구	사망자수	5	1	2	1	-	-	1
2019	중구	부상자수	1,615	1,125	150	102	1	171	66
2019	용산구	발생건수	1,187	860	58	88	1	108	72
2019	용산구	사망자수	10	5	1	2	-	2	-
2019	용산구	부상자수	1,614	1,222	69	118	1	127	77
2019	성동구	발생건수	1,091	677	59	103	4	142	106
2019	성동구	사망자수	13	7	-	2	-	4	-
2019	성동구	부상자수	1,439	944	79	131	4	164	117
2019	광진구	발생건수	973	640	58	63	2	122	88
2019	광진구	사망자수	3	1	1	1	-	-	-
2019	광진구	부상자수	1,316	902	83	73	3	154	101
2019	동대문구	발생건수	1,565	887	94	176	3	265	140
2019	동대문구	사망자수	15	9	-	-	-	5	1
2019	동대문구	부상자수	1,988	1,153	125	223	3	328	156
2019	중랑구	발생건수	1,620	936	98	152	5	254	175
2019	중랑구	사망자수	12	4	2	-	-	1	5
2019	중랑구	부상자수	2,122	1,292	123	184	6	330	187
2019	성북구	발생건수	1,509	957	109	136	1	239	67
2019	성북구	사망자수	8	2	1	1	-	2	2
2019	성북구	부상자수	2,007	1,325	148	170	1	290	73
2019	강북구	발생건수	1,277	750	125	113	3	207	79
2019	강북구	사망자수	7	-	-	1	-	4	2
2019	강북구	부상자수	1,706	1,061	158	136	4	263	84
2019	도봉구	발생건수	852	485	70	68	2	145	82
2019	도봉구	사망자수	4	2	-	-	-	2	-
2019	도봉구	부상자수	1,163	682	102	90	4	186	99
2019	노원구	발생건수	1,703	1,058	120	150	3	198	174
2019	노원구	사망자수	8	2	3	2	-	-	1
2019	노원구	부상자수	2,302	1,506	156	208	5	244	183
2019	은평구	발생건수	1,119	647	118	104	1	150	99
2019	은평구	사망자수	7	1	-	3	-	2	1
2019	은평구	부상자수	1,464	894	135	130	1	197	107
2019	서대문구	발생건수	1,113	672	122	78	-	150	91
2019	서대문구	사망자수	14	5	4	1	-	1	3
2019	서대문구	부상자수	1,609	1,004	209	96	-	189	111
2019	마포구	발생건수	1,494	982	113	99	2	174	124
2019	마포구	사망자수	7	4	-	1	-	1	1
2019	마포구	부상자수	2,123	1,458	176	140	2	215	132
2019	양천구	발생건수	1,506	1,004	92	150	1	141	118
2019	양천구	사망자수	11	5	2	2	-	1	1
2019	양천구	부상자수	2,085	1,467	131	179	1	185	122
2019	강서구	발생건수	1,829	1,150	171	143	3	230	132
2019	강서구	사망자수	20	9	5	3	-	3	-
2019	강서구	부상자수	2,491	1,585	271	184	4	305	142
2019	구로구	발생건수	1,529	937	121	185	2	171	113
2019	구로구	사망자수	13	10	1	1	-	1	-
2019	구로구	부상자수	2,096	1,348	158	243	2	222	123
2019	금천구	발생건수	920	518	94	99	3	127	79
2019	금천구	사망자수	9	4	1	2	-	1	1
2019	금천구	부상자수	1,353	813	153	123	5	168	91
2019	영등포구	발생건수	2,439	1,480	197	219	6	281	256
2019	영등포구	사망자수	11	5	2	2	-	1	1
2019	영등포구	부상자수	3,451	2,178	305	295	8	369	296
2019	동작구	발생건수	1,406	860	137	103	2	217	87
2019	동작구	사망자수	5	4	-	-	-	1	-
2019	동작구	부상자수	2,021	1,260	196	155	2	294	114
2019	관악구	발생건수	1,363	858	127	92	4	216	66
2019	관악구	사망자수	10	4	-	3	-	1	2
2019	관악구	부상자수	1,755	1,127	158	107	7	285	71
2019	서초구	발생건수	2,418	1,769	182	173	7	185	102
2019	서초구	사망자수	14	6	-	2	-	3	3
2019	서초구	부상자수	3,530	2,634	305	250	9	219	113
2019	강남구	발생건수	3,722	2,862	172	171	10	337	170
2019	강남구	사망자수	14	6	1	2	-	4	1
2019	강남구	부상자수	5,182	4,112	224	233	12	415	186
2019	송파구	발생건수	2,892	1,914	163	217	8	281	309
2019	송파구	사망자수	13	6	1	1	-	5	-
2019	송파구	부상자수	4,003	2,726	267	291	22	345	352
2019	강동구	발생건수	1,414	863	117	160	13	133	128
2019	강동구	사망자수	11	7	-	1	-	3	-
2019	강동구	부상자수	1,910	1,186	166	230	17	172	139
