기간	대분류	분류	여행야외나들이	영상시청	문화예술관람	운동	휴식	종교활동	문화예술참여활동	컴퓨터게임인터넷검색 등	운동경기관람	사회봉사활동	독서	기타
2019	은평구	은평구	35.4	8.3	12.6	8.2	0.1	21.9	1.8	3.4	3.6	3.5	1	0
2019	서대문구	서대문구	40.1	12.6	17.3	10.9	0.1	8	1.3	2.3	3.4	2.1	1.1	0.9
2019	마포구	마포구	52.9	8.7	9.3	8	1.2	6.9	1.6	3.2	3.2	3.9	1.2	0
2019	양천구	양천구	17.1	11.2	20.4	8.2	9.3	9.4	8.1	3.3	5.3	3.1	4.5	-
2019	강서구	강서구	44.1	8.9	7.8	6.4	2.5	16.4	1.7	3.9	6.1	1	1.2	-
2019	구로구	구로구	40.1	6.1	11.4	11.2	0.9	14.2	2.7	3.5	5.7	2	2.1	-
2019	금천구	금천구	30.9	12.8	9.9	13.9	8.5	12.8	1.7	5.1	2.2	1.3	1	-
2019	영등포구	영등포구	20.2	3.9	14.7	18	14.4	6.4	2.7	3.6	5.6	7.6	2.3	0.6
2019	동작구	동작구	31.4	6.7	13.3	7.8	8.3	6.3	7.9	4.7	5.6	5.2	2.7	0.1
2019	관악구	관악구	41.2	8.6	9.9	7	1.8	9.9	3.6	7.1	4.5	3.6	2.6	0.1
2019	서초구	서초구	39.8	5.8	11.8	9.7	6.4	14	2.8	1.9	3.5	2.5	1.9	-
2019	강남구	강남구	38.1	6.1	13.3	12.7	0.5	12.3	2.6	3.9	3.4	5.2	1.3	0.7
2019	송파구	송파구	43.3	7.6	13.5	7.5	2.9	10.4	1.3	4.8	3.4	4.2	1.2	0
2019	강동구	강동구	45.6	9	13.5	8.9	0.1	10.1	1.7	4.2	3.1	2.1	1.7	-
