index,contact,day,month,duration,campaign,pdays,pdays_d,previous,poutcome,y
179,cellular,28,jul,139.0,3,-1,-1,0,unknown,no
180,telephone,28,jul,148.0,2,-1,-1,0,unknown,no
181,cellular,27,may,145.0,1,-1,-1,0,unknown,yes
182,cellular,20,apr,205.0,1,82,82,1,failure,yes
183,cellular,27,may,74.0,4,43,43,5,other,no
184,cellular,20,nov,214.0,2,184,184,2,failure,no
185,telephone,27,may,108.0,1,-1,-1,0,unknown,no
186,cellular,28,jul,174.0,2,-1,-1,0,unknown,no
187,cellular,28,jul,200.0,2,-1,-1,0,unknown,no
188,cellular,28,jul,219.0,2,-1,-1,0,unknown,no
189,cellular,28,jul,745.0,7,-1,-1,0,unknown,yes
190,cellular,20,nov,155.0,2,-1,-1,0,unknown,no
191,cellular,28,jul,746.0,2,-1,-1,0,unknown,no
192,cellular,28,jul,362.0,7,-1,-1,0,unknown,no
193,cellular,28,jul,73.0,3,-1,-1,0,unknown,no
194,cellular,28,jul,54.0,3,-1,-1,0,unknown,no
195,cellular,28,jul,307.0,3,-1,-1,0,unknown,no
196,cellular,20,nov,1145.0,4,-1,-1,0,unknown,no
197,cellular,20,nov,148.0,4,-1,-1,0,unknown,no
198,cellular,20,nov,329.0,2,-1,-1,0,unknown,no
199,cellular,20,apr,190.0,2,326,326,1,other,no
200,cellular,25,jul,936.0,1,-1,-1,0,unknown,no
201,cellular,25,jul,171.0,1,-1,-1,0,unknown,no
202,cellular,20,nov,168.0,3,-1,-1,0,unknown,no
203,cellular,25,jul,560.0,1,-1,-1,0,unknown,no
204,telephone,20,nov,713.0,6,-1,-1,0,unknown,no
205,cellular,20,nov,2420.0,3,-1,-1,0,unknown,yes
206,cellular,20,apr,715.0,1,152,152,1,failure,no
207,cellular,25,jul,18.0,7,-1,-1,0,unknown,no
208,cellular,25,jul,49.0,1,-1,-1,0,unknown,no
209,cellular,25,jul,102.0,2,-1,-1,0,unknown,no
210,cellular,20,apr,157.0,1,332,332,3,failure,no
211,cellular,20,nov,292.0,2,178,178,6,failure,no
212,cellular,20,apr,44.0,1,-1,-1,0,unknown,no
213,cellular,25,jul,98.0,1,-1,-1,0,unknown,no
214,telephone,25,jul,59.0,15,-1,-1,0,unknown,no
215,cellular,20,nov,232.0,2,183,183,2,failure,no
216,cellular,25,jul,188.0,5,-1,-1,0,unknown,no
217,cellular,25,jul,63.0,1,-1,-1,0,unknown,no
218,cellular,20,apr,6.0,1,-1,-1,0,unknown,no
219,cellular,25,jul,246.0,1,-1,-1,0,unknown,no
220,telephone,25,jul,110.0,1,-1,-1,0,unknown,no
221,cellular,25,jul,571.0,1,-1,-1,0,unknown,no
222,cellular,25,jul,214.0,1,-1,-1,0,unknown,no
223,cellular,25,jul,227.0,1,-1,-1,0,unknown,no
224,cellular,1,jun,119.0,1,20,20,5,failure,no
225,cellular,20,nov,197.0,4,30,30,1,failure,no
226,cellular,20,nov,257.0,2,-1,-1,0,unknown,no
227,cellular,1,jun,244.0,2,-1,-1,0,unknown,no
228,cellular,20,apr,72.0,1,-1,-1,0,unknown,no
229,cellular,25,jul,800.0,2,-1,-1,0,unknown,no
230,cellular,20,apr,334.0,1,-1,-1,0,unknown,no
231,telephone,25,jul,102.0,4,-1,-1,0,unknown,no
232,cellular,25,jul,184.0,2,-1,-1,0,unknown,no
233,cellular,25,jul,203.0,1,-1,-1,0,unknown,no
234,cellular,25,jul,335.0,2,-1,-1,0,unknown,no
235,cellular,25,jul,94.0,2,-1,-1,0,unknown,no
236,cellular,25,jul,132.0,5,-1,-1,0,unknown,no
237,cellular,25,jul,236.0,8,-1,-1,0,unknown,no
238,cellular,20,nov,332.0,3,-1,-1,0,unknown,no
239,cellular,20,apr,87.0,2,151,151,3,failure,no
240,cellular,25,jul,1106.0,1,-1,-1,0,unknown,no
241,cellular,20,nov,194.0,4,188,188,8,other,no
242,cellular,20,nov,233.0,4,-1,-1,0,unknown,no
243,cellular,1,jun,353.0,1,-1,-1,0,unknown,no
244,cellular,25,jul,1269.0,1,-1,-1,0,unknown,no
245,cellular,25,jul,168.0,2,-1,-1,0,unknown,no
246,telephone,25,jul,182.0,1,-1,-1,0,unknown,no
247,cellular,25,jul,95.0,1,-1,-1,0,unknown,no
248,cellular,20,nov,1341.0,3,178,178,7,failure,yes
249,cellular,25,jul,226.0,1,-1,-1,0,unknown,no
250,cellular,25,jul,175.0,1,-1,-1,0,unknown,no
251,cellular,25,jul,226.0,1,-1,-1,0,unknown,no
252,cellular,20,nov,945.0,2,-1,-1,0,unknown,yes
253,cellular,1,jun,128.0,1,83,83,1,success,no
254,cellular,25,jul,803.0,1,-1,-1,0,unknown,no
255,cellular,20,apr,222.0,1,-1,-1,0,unknown,no
256,cellular,20,nov,367.0,8,-1,-1,0,unknown,no
257,cellular,1,jun,87.0,2,-1,-1,0,unknown,no
258,cellular,25,jul,57.0,5,-1,-1,0,unknown,no
259,cellular,25,jul,735.0,1,-1,-1,0,unknown,yes
260,cellular,25,jul,51.0,1,-1,-1,0,unknown,no
261,cellular,25,jul,335.0,1,-1,-1,0,unknown,no
262,cellular,25,jul,137.0,11,-1,-1,0,unknown,no
263,cellular,20,apr,138.0,2,263,263,7,failure,no
264,cellular,20,nov,370.0,2,-1,-1,0,unknown,no
265,cellular,25,jul,361.0,1,-1,-1,0,unknown,no
266,cellular,1,jun,262.0,1,-1,-1,0,unknown,no
267,cellular,20,nov,766.0,3,-1,-1,0,unknown,no
268,cellular,25,jul,310.0,1,-1,-1,0,unknown,no
269,cellular,25,jul,305.0,1,-1,-1,0,unknown,no
270,cellular,25,jul,294.0,1,-1,-1,0,unknown,no
271,cellular,25,jul,173.0,8,-1,-1,0,unknown,no
272,cellular,25,jul,136.0,5,-1,-1,0,unknown,no
273,cellular,25,jul,198.0,1,-1,-1,0,unknown,no
274,telephone,20,nov,233.0,4,115,115,6,failure,no
275,cellular,25,jul,54.0,1,-1,-1,0,unknown,no
276,cellular,25,jul,720.0,2,-1,-1,0,unknown,no
277,cellular,25,jul,172.0,1,-1,-1,0,unknown,no
278,cellular,25,jul,40.0,1,-1,-1,0,unknown,no
279,cellular,20,apr,206.0,1,-1,-1,0,unknown,no
280,cellular,20,nov,167.0,4,174,174,1,failure,no
281,cellular,25,jul,50.0,1,-1,-1,0,unknown,no
282,cellular,25,jul,246.0,2,-1,-1,0,unknown,no
283,cellular,25,jul,86.0,4,-1,-1,0,unknown,no
284,cellular,25,jul,112.0,2,-1,-1,0,unknown,no
285,cellular,25,jul,79.0,2,-1,-1,0,unknown,no
286,telephone,25,jul,241.0,1,-1,-1,0,unknown,no
287,cellular,1,jun,106.0,1,91,91,1,success,no
288,cellular,1,jun,144.0,1,83,83,1,failure,no
289,cellular,20,nov,693.0,3,-1,-1,0,unknown,no
290,cellular,25,jul,65.0,5,-1,-1,0,unknown,no
291,cellular,20,apr,54.0,1,273,273,3,failure,no
292,cellular,25,jul,137.0,16,-1,-1,0,unknown,no
293,cellular,25,jul,134.0,1,-1,-1,0,unknown,no
294,cellular,25,jul,862.0,1,-1,-1,0,unknown,yes
295,cellular,25,jul,112.0,2,-1,-1,0,unknown,no
296,cellular,25,jul,218.0,1,-1,-1,0,unknown,no
297,cellular,1,jun,128.0,1,192,192,1,failure,no
298,cellular,25,jul,256.0,1,-1,-1,0,unknown,no
299,cellular,20,nov,95.0,2,-1,-1,0,unknown,no
300,cellular,1,jun,129.0,1,314,314,2,failure,no
301,cellular,25,jul,238.0,4,-1,-1,0,unknown,no
302,cellular,25,jul,148.0,1,-1,-1,0,unknown,no
303,cellular,20,nov,151.0,3,-1,-1,0,unknown,no
304,cellular,20,nov,399.0,2,-1,-1,0,unknown,no
305,cellular,28,may,568.0,8,-1,-1,0,unknown,no
306,cellular,25,jul,1031.0,8,-1,-1,0,unknown,yes
307,telephone,25,jul,259.0,2,-1,-1,0,unknown,no
308,cellular,20,apr,181.0,2,270,270,2,failure,no
309,cellular,28,may,77.0,1,100,100,1,failure,no
310,cellular,25,jul,84.0,3,-1,-1,0,unknown,no
311,cellular,25,jul,268.0,2,-1,-1,0,unknown,no
312,cellular,25,jul,147.0,2,-1,-1,0,unknown,no
313,cellular,20,apr,148.0,2,-1,-1,0,unknown,no
314,cellular,25,jul,356.0,9,-1,-1,0,unknown,no
315,cellular,25,jul,155.0,4,-1,-1,0,unknown,no
316,telephone,25,jul,702.0,5,-1,-1,0,unknown,no
317,cellular,25,jul,141.0,3,-1,-1,0,unknown,no
318,telephone,20,nov,90.0,2,-1,-1,0,unknown,no
319,cellular,20,apr,23.0,4,-1,-1,0,unknown,no
320,cellular,25,jul,102.0,2,-1,-1,0,unknown,no
321,cellular,20,apr,222.0,1,153,153,4,failure,no
322,cellular,20,apr,59.0,3,342,342,1,other,no
323,cellular,28,may,188.0,3,10,10,1,failure,yes
324,cellular,20,nov,117.0,3,-1,-1,0,unknown,no
325,cellular,25,jul,266.0,6,-1,-1,0,unknown,no
326,telephone,20,apr,368.0,1,-1,-1,0,unknown,no
327,cellular,25,jul,295.0,2,-1,-1,0,unknown,no
328,cellular,25,jul,194.0,2,-1,-1,0,unknown,no
329,cellular,25,jul,1330.0,3,-1,-1,0,unknown,yes
330,cellular,25,jul,587.0,5,-1,-1,0,unknown,no
331,cellular,20,nov,611.0,3,-1,-1,0,unknown,no
332,telephone,25,jul,72.0,8,-1,-1,0,unknown,no
333,cellular,25,jul,590.0,8,-1,-1,0,unknown,yes
334,cellular,20,apr,328.0,2,264,264,2,failure,no
335,cellular,25,jul,293.0,4,-1,-1,0,unknown,no
336,cellular,25,jul,211.0,3,-1,-1,0,unknown,no
337,cellular,25,jul,394.0,2,-1,-1,0,unknown,no
338,cellular,25,jul,356.0,3,-1,-1,0,unknown,no
339,cellular,20,apr,114.0,3,-1,-1,0,unknown,no
340,cellular,25,jul,124.0,2,-1,-1,0,unknown,no
341,cellular,20,apr,247.0,3,339,339,2,failure,no
342,cellular,25,jul,161.0,7,-1,-1,0,unknown,no
343,cellular,25,jul,273.0,1,-1,-1,0,unknown,no
344,cellular,25,jul,72.0,30,-1,-1,0,unknown,no
345,cellular,25,jul,396.0,1,-1,-1,0,unknown,no
346,cellular,25,jul,270.0,1,-1,-1,0,unknown,no
347,cellular,20,nov,315.0,2,196,196,4,failure,no
348,cellular,25,jul,134.0,1,-1,-1,0,unknown,no
349,cellular,20,apr,108.0,1,-1,-1,0,unknown,no
350,cellular,20,nov,68.0,2,-1,-1,0,unknown,no
351,cellular,25,jul,142.0,1,-1,-1,0,unknown,no
352,telephone,25,jul,120.0,1,-1,-1,0,unknown,no
353,cellular,25,jul,110.0,1,-1,-1,0,unknown,no
354,cellular,25,jul,311.0,6,-1,-1,0,unknown,no
355,cellular,25,jul,211.0,2,-1,-1,0,unknown,no
356,cellular,1,jun,264.0,1,-1,-1,0,unknown,yes
357,cellular,25,jul,796.0,1,-1,-1,0,unknown,no
358,cellular,20,nov,361.0,2,189,189,1,failure,no
359,cellular,25,jul,471.0,2,-1,-1,0,unknown,no
360,cellular,25,jul,97.0,1,-1,-1,0,unknown,no
361,cellular,1,jun,190.0,1,84,84,1,failure,no
362,cellular,25,jul,337.0,2,-1,-1,0,unknown,no
363,cellular,20,nov,378.0,8,-1,-1,0,unknown,no
364,cellular,1,jun,205.0,1,95,95,1,success,yes
365,telephone,25,jul,394.0,2,-1,-1,0,unknown,no
366,cellular,25,jul,67.0,5,-1,-1,0,unknown,no
367,cellular,25,jul,132.0,5,-1,-1,0,unknown,no
368,cellular,25,jul,135.0,2,-1,-1,0,unknown,no
369,cellular,20,apr,38.0,1,335,335,1,other,no
370,cellular,20,apr,245.0,1,-1,-1,0,unknown,no
371,cellular,20,apr,9.0,1,-1,-1,0,unknown,no
372,cellular,20,nov,217.0,3,-1,-1,0,unknown,no
373,telephone,25,jul,417.0,1,-1,-1,0,unknown,no
374,cellular,1,jun,71.0,1,-1,-1,0,unknown,no
375,cellular,25,jul,39.0,3,-1,-1,0,unknown,no
376,cellular,25,jul,241.0,2,-1,-1,0,unknown,no
377,cellular,20,nov,110.0,2,-1,-1,0,unknown,no
378,cellular,25,jul,90.0,3,-1,-1,0,unknown,no
379,cellular,20,nov,136.0,3,125,125,2,other,no
380,cellular,20,nov,591.0,3,-1,-1,0,unknown,no
381,telephone,25,jul,657.0,2,-1,-1,0,unknown,no
382,cellular,20,apr,297.0,4,-1,-1,0,unknown,no
383,cellular,28,may,61.0,2,-1,-1,0,unknown,no
384,cellular,20,nov,355.0,6,-1,-1,0,unknown,no
385,cellular,25,jul,2015.0,1,-1,-1,0,unknown,yes
386,cellular,20,nov,231.0,2,-1,-1,0,unknown,no
387,telephone,28,may,71.0,1,90,90,1,other,no
388,cellular,25,jul,743.0,13,-1,-1,0,unknown,yes
389,cellular,25,jul,53.0,5,-1,-1,0,unknown,no
390,cellular,25,jul,568.0,2,-1,-1,0,unknown,no
391,cellular,25,jul,102.0,5,-1,-1,0,unknown,no
392,cellular,25,jul,184.0,1,-1,-1,0,unknown,no
393,cellular,20,nov,251.0,4,-1,-1,0,unknown,no
394,cellular,20,nov,341.0,2,-1,-1,0,unknown,no
395,cellular,25,jul,163.0,1,-1,-1,0,unknown,no
396,cellular,20,nov,106.0,3,-1,-1,0,unknown,no
397,cellular,1,jun,108.0,1,94,94,2,other,no
398,telephone,25,jul,87.0,1,-1,-1,0,unknown,no
399,telephone,28,jul,122.0,6,-1,-1,0,unknown,no
400,cellular,28,jul,35.0,2,-1,-1,0,unknown,no
401,telephone,28,jul,596.0,4,-1,-1,0,unknown,yes
402,cellular,20,nov,47.0,1,-1,-1,0,unknown,no
403,cellular,20,apr,237.0,2,-1,-1,0,unknown,no
404,cellular,29,jul,25.0,22,-1,-1,0,unknown,no
405,telephone,29,jul,165.0,2,-1,-1,0,unknown,no
406,cellular,25,may,615.0,4,-1,-1,0,unknown,yes
407,cellular,20,apr,378.0,1,-1,-1,0,unknown,no
408,cellular,29,jul,189.0,4,-1,-1,0,unknown,no
409,cellular,20,nov,361.0,1,-1,-1,0,unknown,no
410,cellular,29,jul,179.0,6,-1,-1,0,unknown,no
411,cellular,25,may,414.0,2,35,35,4,failure,yes
412,cellular,20,nov,67.0,2,-1,-1,0,unknown,no
413,cellular,25,may,601.0,2,10,10,7,failure,yes
414,cellular,26,may,133.0,2,363,363,5,failure,no
415,cellular,29,jul,122.0,7,-1,-1,0,unknown,no
416,cellular,29,jul,145.0,2,-1,-1,0,unknown,no
417,telephone,20,nov,107.0,2,-1,-1,0,unknown,no
418,telephone,29,jul,7.0,5,-1,-1,0,unknown,no
419,cellular,29,jul,375.0,2,-1,-1,0,unknown,no
420,cellular,20,nov,140.0,1,-1,-1,0,unknown,no
421,cellular,29,jul,90.0,5,-1,-1,0,unknown,no
422,cellular,20,nov,294.0,2,-1,-1,0,unknown,no
423,cellular,20,apr,177.0,2,348,348,2,failure,no
424,cellular,25,may,214.0,1,305,305,1,other,yes
425,cellular,20,nov,165.0,1,100,100,2,failure,no
426,cellular,20,nov,470.0,2,-1,-1,0,unknown,no
427,cellular,25,may,217.0,1,-1,-1,0,unknown,no
428,cellular,25,may,531.0,1,97,97,1,success,no
429,cellular,29,jul,299.0,5,-1,-1,0,unknown,no
430,cellular,25,may,214.0,1,-1,-1,0,unknown,no
431,cellular,25,may,143.0,1,-1,-1,0,unknown,no
432,cellular,25,may,377.0,1,-1,-1,0,unknown,yes
433,cellular,29,jul,70.0,5,-1,-1,0,unknown,no
434,cellular,29,jul,55.0,3,-1,-1,0,unknown,no
435,cellular,29,jul,70.0,3,-1,-1,0,unknown,no
436,cellular,25,may,158.0,2,-1,-1,0,unknown,yes
437,cellular,29,jul,336.0,2,-1,-1,0,unknown,no
438,cellular,20,nov,149.0,2,-1,-1,0,unknown,no
439,cellular,20,apr,106.0,2,-1,-1,0,unknown,no
440,cellular,29,jul,124.0,2,-1,-1,0,unknown,no
441,cellular,25,may,123.0,2,-1,-1,0,unknown,no
442,cellular,25,may,117.0,2,21,21,3,failure,yes
443,cellular,29,jul,102.0,3,-1,-1,0,unknown,no
444,cellular,29,jul,164.0,6,-1,-1,0,unknown,no
445,cellular,29,jul,129.0,2,-1,-1,0,unknown,no
446,cellular,20,apr,28.0,5,-1,-1,0,unknown,no
447,cellular,25,may,166.0,3,111,111,6,failure,no
448,cellular,29,jul,116.0,2,-1,-1,0,unknown,no
449,cellular,26,may,135.0,1,104,104,2,failure,no
450,cellular,26,may,293.0,2,19,19,3,failure,no
451,cellular,25,may,217.0,1,306,306,8,failure,no
452,cellular,20,apr,16.0,4,-1,-1,0,unknown,no
453,cellular,29,jul,117.0,3,-1,-1,0,unknown,no
454,cellular,29,jul,62.0,8,-1,-1,0,unknown,no
455,cellular,20,apr,113.0,2,270,270,5,failure,no
456,cellular,20,apr,15.0,4,343,343,3,other,no
