index,age,job,marital,education,default,balance,loan
97,50.0,blue-collar,divorced,secondary,no,-1.0,no
98,54.0,management,divorced,tertiary,no,55.0,no
99,27.0,technician,married,secondary,no,0.0,no
100,25.0,management,single,tertiary,no,155.0,no
101,30.0,management,married,tertiary,no,1235.0,no
102,33.0,admin.,single,secondary,no,2548.0,no
103,28.0,admin.,married,secondary,no,157.0,yes
104,25.0,services,single,secondary,no,5533.0,no
105,40.0,technician,single,secondary,no,134.0,yes
106,34.0,management,single,tertiary,no,2555.0,no
107,32.0,management,married,tertiary,no,8.0,no
108,28.0,student,single,secondary,no,39.0,no
109,31.0,blue-collar,married,primary,no,389.0,no
110,34.0,management,single,secondary,no,1995.0,no
111,40.0,technician,divorced,secondary,no,669.0,no
112,32.0,blue-collar,single,secondary,no,6982.0,no
113,47.0,admin.,married,tertiary,no,2279.0,yes
114,30.0,admin.,single,secondary,no,983.0,no
115,34.0,admin.,married,secondary,no,1655.0,no
116,30.0,blue-collar,divorced,primary,no,511.0,no
117,39.0,blue-collar,married,secondary,no,366.0,no
118,38.0,management,married,secondary,no,1066.0,no
119,56.0,admin.,divorced,secondary,no,1026.0,no
120,28.0,management,single,tertiary,no,111.0,yes
121,49.0,blue-collar,married,primary,yes,-98.0,no
122,38.0,technician,married,secondary,no,7696.0,no
123,42.0,services,married,secondary,no,98.0,no
124,45.0,entrepreneur,divorced,tertiary,no,1273.0,yes
125,26.0,technician,married,tertiary,no,-385.0,no
126,35.0,blue-collar,married,secondary,no,209.0,yes
127,34.0,management,single,secondary,no,516.0,no
128,43.0,management,married,tertiary,no,5670.0,no
129,26.0,services,single,secondary,no,81.0,no
130,37.0,management,married,tertiary,no,9895.0,no
131,33.0,housemaid,married,tertiary,no,10.0,no
132,39.0,services,married,secondary,no,-267.0,no
133,33.0,services,married,secondary,no,90.0,no
134,38.0,housemaid,married,secondary,no,-278.0,no
135,33.0,technician,married,tertiary,no,145.0,no
136,51.0,blue-collar,married,secondary,no,-237.0,yes
137,43.0,blue-collar,married,secondary,no,85.0,no
138,30.0,management,married,secondary,no,3817.0,no
139,42.0,housemaid,married,primary,no,1.0,no
140,48.0,blue-collar,married,secondary,no,917.0,no
141,49.0,services,married,tertiary,no,475.0,no
142,34.0,management,married,tertiary,no,1518.0,no
143,30.0,admin.,single,secondary,no,-548.0,yes
144,55.0,retired,married,secondary,no,1126.0,no
145,43.0,services,married,secondary,no,14679.0,no
146,43.0,blue-collar,married,secondary,no,3311.0,no
147,47.0,management,married,tertiary,no,437.0,no
148,36.0,management,married,tertiary,no,-861.0,yes
149,35.0,blue-collar,married,secondary,no,911.0,no
150,29.0,blue-collar,married,secondary,no,246.0,no
151,31.0,management,married,tertiary,no,0.0,yes
152,24.0,admin.,single,tertiary,no,0.0,no
153,52.0,management,married,tertiary,no,2428.0,no
154,32.0,management,single,tertiary,no,15561.0,no
155,51.0,housemaid,married,unknown,no,2337.0,no
156,39.0,management,single,tertiary,no,1457.0,no
157,34.0,admin.,single,secondary,no,79.0,no
158,32.0,management,single,tertiary,no,914.0,no
159,30.0,admin.,single,secondary,no,1027.0,no
160,33.0,technician,married,secondary,no,181.0,yes
161,46.0,admin.,married,secondary,no,31.0,yes
162,52.0,blue-collar,married,primary,no,4711.0,no
163,44.0,technician,divorced,secondary,no,0.0,no
164,27.0,management,single,tertiary,no,72.0,no
165,35.0,self-employed,married,secondary,no,5613.0,no
166,31.0,management,single,tertiary,no,0.0,no
167,33.0,services,married,secondary,no,2184.0,no
168,33.0,management,married,tertiary,no,864.0,no
169,37.0,admin.,married,secondary,no,7.0,no
170,36.0,technician,married,secondary,no,-90.0,no
171,59.0,retired,married,primary,no,0.0,no
172,31.0,blue-collar,single,primary,no,2369.0,yes
173,50.0,services,married,secondary,no,0.0,no
174,43.0,services,divorced,secondary,no,-145.0,no
175,37.0,services,married,secondary,no,1498.0,no
176,41.0,blue-collar,married,primary,no,-52.0,yes
177,38.0,services,married,secondary,no,0.0,no
178,48.0,technician,married,secondary,no,759.0,no
179,28.0,technician,single,secondary,no,181.0,no
180,39.0,services,divorced,secondary,no,293.0,yes
181,34.0,admin.,married,secondary,no,1406.0,no
182,28.0,technician,single,tertiary,no,387.0,no
183,26.0,management,single,tertiary,no,155.0,no
184,33.0,blue-collar,married,secondary,no,3514.0,no
185,49.0,housemaid,married,primary,no,5038.0,no
186,33.0,services,single,secondary,no,0.0,no
187,36.0,blue-collar,married,secondary,no,1587.0,no
188,38.0,management,single,tertiary,no,8.0,no
189,43.0,services,married,secondary,no,-236.0,no
190,34.0,management,married,tertiary,no,16649.0,no
191,27.0,admin.,married,secondary,no,31.0,yes
192,59.0,admin.,married,secondary,no,373.0,yes
193,32.0,technician,married,secondary,no,163.0,yes
194,33.0,management,married,tertiary,no,0.0,no
195,42.0,blue-collar,married,unknown,no,345.0,yes
196,31.0,self-employed,single,secondary,no,148.0,yes
197,35.0,technician,married,secondary,no,1546.0,no
198,43.0,blue-collar,married,primary,no,4581.0,no
199,30.0,blue-collar,married,secondary,no,322.0,no
200,25.0,blue-collar,married,secondary,no,-23.0,no
201,41.0,blue-collar,married,primary,no,1018.0,no
202,51.0,blue-collar,married,primary,no,5206.0,no
203,40.0,entrepreneur,married,secondary,no,0.0,no
204,47.0,self-employed,married,secondary,no,2830.0,no
205,41.0,technician,single,secondary,no,650.0,no
206,50.0,services,divorced,secondary,no,2015.0,no
207,36.0,admin.,single,secondary,no,191.0,no
208,46.0,admin.,married,unknown,no,0.0,no
209,25.0,blue-collar,married,secondary,no,2.0,no
210,55.0,blue-collar,divorced,secondary,no,462.0,no
211,34.0,admin.,single,secondary,no,4436.0,no
212,40.0,admin.,single,secondary,no,315.0,no
213,45.0,blue-collar,married,secondary,no,79.0,no
214,45.0,management,married,tertiary,no,766.0,no
215,32.0,blue-collar,single,secondary,no,5252.0,no
216,43.0,blue-collar,married,secondary,no,57.0,no
217,31.0,services,single,tertiary,no,10122.0,no
218,50.0,management,married,tertiary,no,1822.0,no
219,25.0,blue-collar,married,secondary,no,59.0,no
220,41.0,entrepreneur,married,secondary,no,2959.0,no
221,36.0,management,single,tertiary,no,142.0,no
222,49.0,technician,divorced,secondary,no,-54.0,yes
223,45.0,management,married,tertiary,no,634.0,no
224,25.0,student,single,secondary,no,1116.0,no
225,35.0,management,married,tertiary,no,0.0,no
226,31.0,admin.,married,secondary,no,2304.0,no
227,59.0,retired,married,tertiary,no,1312.0,no
228,39.0,services,married,secondary,no,3870.0,no
229,30.0,technician,married,tertiary,no,71.0,no
230,44.0,technician,divorced,secondary,no,-865.0,no
231,47.0,management,married,primary,no,2793.0,no
232,42.0,blue-collar,married,secondary,no,0.0,no
233,46.0,technician,married,secondary,no,-220.0,no
234,37.0,housemaid,married,secondary,no,589.0,no
235,37.0,management,married,tertiary,no,287.0,no
236,54.0,management,single,tertiary,no,3294.0,no
237,29.0,blue-collar,married,secondary,no,9.0,no
238,31.0,entrepreneur,married,secondary,no,7518.0,no
239,44.0,blue-collar,married,secondary,no,3060.0,no
240,39.0,self-employed,married,tertiary,no,1492.0,no
241,40.0,services,married,secondary,no,5248.0,yes
242,44.0,management,married,tertiary,yes,53.0,no
243,30.0,management,married,tertiary,no,155.0,no
244,36.0,housemaid,married,tertiary,no,147.0,yes
245,35.0,blue-collar,married,primary,no,305.0,no
246,53.0,housemaid,married,secondary,no,559.0,no
247,48.0,services,married,secondary,no,622.0,no
248,31.0,unemployed,married,secondary,no,314.0,no
249,35.0,management,single,tertiary,no,48.0,yes
250,26.0,technician,married,tertiary,no,233.0,no
251,36.0,entrepreneur,married,secondary,no,1412.0,yes
252,35.0,blue-collar,married,secondary,no,5639.0,no
253,35.0,management,single,tertiary,no,671.0,no
254,27.0,technician,single,secondary,no,41.0,yes
255,33.0,blue-collar,married,primary,no,681.0,no
256,56.0,technician,single,secondary,no,1437.0,no
257,46.0,management,married,tertiary,no,0.0,no
258,50.0,technician,married,secondary,no,59.0,no
259,33.0,admin.,married,secondary,no,82.0,no
260,30.0,blue-collar,single,secondary,no,3.0,no
261,26.0,self-employed,married,secondary,yes,254.0,yes
262,34.0,admin.,married,secondary,no,2.0,no
263,43.0,blue-collar,married,primary,no,517.0,no
264,30.0,management,single,tertiary,no,212.0,no
265,27.0,services,single,primary,no,140.0,yes
266,48.0,housemaid,married,primary,no,332.0,no
267,33.0,blue-collar,single,secondary,no,4404.0,no
268,32.0,management,married,tertiary,no,3107.0,yes
269,50.0,admin.,divorced,secondary,no,556.0,no
270,35.0,services,single,secondary,no,11.0,no
271,32.0,blue-collar,married,secondary,yes,-49.0,no
272,35.0,technician,single,secondary,no,2471.0,yes
273,25.0,services,married,secondary,no,-282.0,yes
274,56.0,services,married,secondary,no,4763.0,no
275,44.0,technician,single,primary,no,237.0,no
276,42.0,management,married,tertiary,no,3841.0,no
277,30.0,unemployed,married,tertiary,no,4696.0,no
278,28.0,management,single,tertiary,no,1466.0,no
279,44.0,admin.,divorced,secondary,no,-43.0,yes
280,51.0,admin.,married,secondary,no,4178.0,no
281,32.0,admin.,married,tertiary,no,176.0,no
282,30.0,technician,married,secondary,no,-280.0,no
283,35.0,management,married,tertiary,no,0.0,yes
284,42.0,blue-collar,married,primary,no,5.0,no
285,51.0,admin.,divorced,secondary,no,74.0,no
286,50.0,blue-collar,married,primary,no,-454.0,no
287,55.0,technician,married,secondary,no,0.0,yes
288,52.0,technician,married,secondary,no,0.0,no
289,47.0,management,married,tertiary,no,7741.0,no
290,47.0,management,married,tertiary,no,-488.0,no
291,35.0,management,married,tertiary,no,2123.0,no
292,31.0,management,married,tertiary,no,430.0,no
293,30.0,blue-collar,single,primary,no,3195.0,yes
294,35.0,management,divorced,tertiary,no,1723.0,no
295,31.0,blue-collar,married,secondary,no,-723.0,no
296,30.0,blue-collar,single,secondary,no,297.0,no
297,60.0,management,married,tertiary,no,261.0,yes
298,34.0,blue-collar,married,unknown,no,568.0,no
299,53.0,blue-collar,divorced,primary,no,1480.0,no
300,41.0,technician,divorced,tertiary,no,2611.0,no
301,49.0,blue-collar,married,primary,no,1644.0,no
302,41.0,admin.,married,secondary,no,1672.0,no
303,38.0,management,married,secondary,no,96.0,no
304,54.0,self-employed,married,secondary,no,641.0,no
305,36.0,self-employed,married,tertiary,no,687.0,no
306,30.0,management,single,tertiary,no,2.0,yes
307,39.0,admin.,divorced,secondary,no,2903.0,yes
308,42.0,blue-collar,married,secondary,no,2717.0,yes
309,36.0,admin.,married,secondary,no,953.0,no
310,51.0,entrepreneur,married,secondary,no,2156.0,no
311,51.0,management,married,tertiary,no,656.0,no
312,57.0,management,divorced,tertiary,no,909.0,no
313,46.0,services,married,secondary,no,327.0,yes
314,51.0,management,divorced,tertiary,no,323.0,no
315,55.0,self-employed,married,secondary,no,2387.0,no
316,53.0,retired,married,primary,no,759.0,no
317,34.0,technician,married,secondary,no,0.0,no
318,32.0,blue-collar,married,secondary,no,5075.0,no
319,35.0,admin.,single,secondary,no,424.0,no
320,36.0,management,married,tertiary,no,1988.0,yes
321,40.0,admin.,single,tertiary,no,283.0,no
322,37.0,admin.,married,secondary,no,2320.0,no
323,25.0,technician,single,secondary,no,7103.0,no
324,30.0,entrepreneur,married,secondary,no,392.0,no
325,31.0,technician,married,tertiary,no,0.0,no
326,39.0,blue-collar,married,secondary,no,56.0,no
327,27.0,management,married,tertiary,no,159.0,no
328,28.0,management,single,secondary,no,265.0,no
329,54.0,management,married,secondary,no,1134.0,no
330,42.0,housemaid,married,primary,no,1523.0,yes
331,41.0,blue-collar,married,primary,no,3803.0,no
332,50.0,admin.,divorced,secondary,no,797.0,no
333,42.0,blue-collar,single,primary,no,1628.0,no
334,37.0,admin.,divorced,tertiary,no,43.0,no
335,31.0,housemaid,single,secondary,no,0.0,no
336,32.0,blue-collar,married,primary,no,104.0,no
337,30.0,blue-collar,married,primary,no,-68.0,no
338,44.0,technician,married,secondary,no,111.0,yes
339,40.0,admin.,single,secondary,no,576.0,yes
340,34.0,technician,divorced,secondary,no,1301.0,no
341,43.0,blue-collar,married,secondary,no,314.0,yes
342,44.0,self-employed,married,tertiary,no,233.0,yes
343,32.0,technician,single,secondary,no,4069.0,no
344,44.0,technician,single,tertiary,no,3432.0,no
345,30.0,admin.,single,tertiary,no,33.0,no
346,38.0,admin.,married,secondary,no,689.0,no
347,35.0,services,married,secondary,no,142.0,no
348,27.0,blue-collar,married,secondary,no,5505.0,yes
349,36.0,services,married,secondary,no,878.0,no
350,46.0,entrepreneur,divorced,secondary,no,2514.0,no
351,33.0,services,married,secondary,yes,-319.0,no
352,39.0,housemaid,married,secondary,no,42.0,no
353,47.0,housemaid,married,secondary,no,4397.0,no
354,39.0,technician,married,secondary,no,-709.0,no
355,43.0,blue-collar,married,secondary,no,1343.0,yes
356,48.0,management,married,tertiary,no,1167.0,yes
357,39.0,management,divorced,tertiary,no,1555.0,no
358,58.0,technician,married,secondary,no,5618.0,no
359,59.0,retired,married,secondary,no,5706.0,no
360,54.0,housemaid,married,secondary,no,209.0,yes
361,26.0,management,single,tertiary,no,1274.0,no
362,25.0,technician,single,secondary,no,1036.0,no
363,36.0,management,divorced,tertiary,no,0.0,no
364,49.0,management,married,tertiary,no,1808.0,no
365,57.0,management,married,tertiary,no,4185.0,no
366,30.0,technician,divorced,tertiary,no,317.0,no
367,32.0,admin.,married,secondary,no,2.0,no
368,52.0,admin.,married,secondary,no,473.0,no
369,40.0,technician,single,tertiary,no,825.0,no
370,35.0,self-employed,married,secondary,no,598.0,no
371,46.0,blue-collar,married,primary,no,859.0,no
372,35.0,entrepreneur,married,primary,no,-394.0,no
373,46.0,management,married,unknown,no,802.0,no
374,38.0,technician,single,tertiary,no,0.0,no
375,43.0,management,married,secondary,no,1424.0,no
376,29.0,entrepreneur,single,secondary,no,158.0,no
377,32.0,management,married,tertiary,no,6059.0,no
378,30.0,technician,single,secondary,no,1625.0,no
379,44.0,management,divorced,tertiary,no,6285.0,no
380,32.0,technician,married,primary,no,3774.0,no
381,54.0,technician,married,secondary,no,1331.0,no
382,34.0,blue-collar,married,primary,no,2798.0,no
383,38.0,technician,single,secondary,no,311.0,no
384,36.0,services,divorced,secondary,no,54.0,no
385,51.0,unemployed,married,primary,no,1162.0,no
386,57.0,unemployed,married,primary,no,0.0,no
387,37.0,admin.,married,tertiary,no,23.0,no
388,35.0,technician,single,tertiary,no,470.0,no
389,34.0,management,married,tertiary,no,1116.0,no
390,28.0,management,single,tertiary,no,231.0,yes
391,47.0,management,married,tertiary,no,7.0,no
392,33.0,admin.,single,secondary,no,-300.0,yes
393,31.0,management,single,tertiary,no,-208.0,yes
394,37.0,blue-collar,single,secondary,no,3572.0,yes
395,31.0,blue-collar,single,secondary,yes,-535.0,no
396,46.0,admin.,divorced,secondary,no,778.0,no
397,55.0,technician,married,secondary,no,511.0,no
398,44.0,services,married,secondary,no,483.0,no
399,58.0,housemaid,married,primary,no,435.0,no
400,29.0,blue-collar,married,primary,no,-382.0,no
401,55.0,technician,married,secondary,no,3899.0,no
402,39.0,services,divorced,secondary,no,1957.0,yes
403,36.0,management,single,tertiary,no,832.0,no
404,31.0,blue-collar,married,secondary,no,892.0,no
405,41.0,blue-collar,married,secondary,no,1882.0,yes
406,32.0,technician,single,tertiary,no,654.0,no
407,43.0,blue-collar,married,primary,no,1892.0,no
408,47.0,entrepreneur,married,tertiary,no,459.0,no
409,31.0,blue-collar,married,secondary,no,1515.0,no
410,51.0,technician,married,secondary,no,-396.0,no
411,32.0,technician,single,tertiary,no,705.0,no
412,35.0,technician,married,secondary,no,410.0,no
413,33.0,technician,single,tertiary,no,109.0,yes
414,40.0,blue-collar,married,primary,no,-310.0,yes
415,46.0,management,married,secondary,no,10.0,no
416,58.0,management,married,secondary,no,407.0,no
417,49.0,blue-collar,single,primary,no,3710.0,no
418,58.0,management,married,tertiary,no,1517.0,no
419,42.0,technician,divorced,tertiary,no,7190.0,no
420,32.0,admin.,married,secondary,no,901.0,no
421,30.0,management,single,tertiary,no,62.0,no
422,31.0,technician,married,secondary,no,40.0,no
423,32.0,admin.,single,secondary,no,299.0,no
424,35.0,technician,single,secondary,no,27.0,no
425,31.0,technician,single,tertiary,no,438.0,no
426,59.0,management,divorced,tertiary,no,17056.0,no
427,33.0,blue-collar,single,secondary,no,4464.0,no
428,38.0,admin.,married,secondary,no,755.0,no
429,54.0,management,divorced,tertiary,no,1692.0,no
430,36.0,admin.,married,secondary,no,1054.0,no
431,37.0,self-employed,married,tertiary,no,2211.0,no
432,37.0,services,married,secondary,no,466.0,yes
433,29.0,technician,single,tertiary,no,7.0,no
434,34.0,services,married,secondary,no,0.0,no
435,26.0,technician,single,secondary,no,84.0,no
436,32.0,services,single,secondary,no,152.0,no
437,56.0,technician,married,secondary,no,1199.0,yes
438,37.0,blue-collar,single,secondary,no,1184.0,no
439,44.0,services,married,secondary,no,1989.0,yes
440,46.0,blue-collar,married,primary,no,564.0,no
441,28.0,management,married,secondary,no,466.0,no
442,36.0,technician,married,tertiary,no,911.0,yes
443,36.0,management,single,tertiary,no,442.0,yes
444,48.0,admin.,married,secondary,no,292.0,yes
445,44.0,technician,married,secondary,no,2575.0,yes
446,36.0,blue-collar,married,secondary,no,204.0,no
447,31.0,technician,single,secondary,no,863.0,no
448,45.0,blue-collar,married,primary,no,193.0,yes
449,40.0,management,married,secondary,no,363.0,yes
450,35.0,blue-collar,single,secondary,no,142.0,no
451,39.0,management,married,tertiary,no,246.0,no
452,31.0,management,single,tertiary,no,587.0,no
453,41.0,services,married,primary,no,812.0,yes
454,60.0,retired,married,secondary,yes,879.0,yes
455,46.0,management,divorced,secondary,no,145.0,no
456,30.0,blue-collar,married,primary,no,262.0,no
457,35.0,management,divorced,tertiary,no,366.0,no
458,32.0,blue-collar,married,secondary,no,129.0,no
459,57.0,services,married,primary,no,1700.0,no
460,43.0,services,married,secondary,no,3689.0,no
461,31.0,technician,single,tertiary,no,-749.0,yes
462,31.0,management,single,tertiary,no,816.0,no
463,37.0,services,married,secondary,no,3.0,no
464,58.0,retired,married,secondary,no,3542.0,no
465,46.0,entrepreneur,married,secondary,no,0.0,yes
466,29.0,technician,single,secondary,no,426.0,no
467,34.0,blue-collar,married,secondary,no,156.0,no
468,31.0,self-employed,married,tertiary,no,3.0,no
469,47.0,management,single,tertiary,no,216.0,no
470,41.0,admin.,married,secondary,no,-5.0,no
471,39.0,technician,single,tertiary,no,54.0,no
472,27.0,management,single,secondary,no,0.0,yes
473,44.0,blue-collar,married,secondary,no,337.0,no
474,30.0,admin.,married,unknown,no,4.0,no
475,42.0,technician,divorced,secondary,no,-78.0,yes
476,31.0,admin.,married,secondary,no,782.0,no
477,38.0,blue-collar,married,secondary,no,789.0,no
478,33.0,management,married,tertiary,no,3713.0,no
479,30.0,technician,married,tertiary,no,1570.0,no
480,45.0,technician,married,secondary,no,999.0,no
481,42.0,technician,married,secondary,no,-113.0,yes
482,44.0,self-employed,single,tertiary,no,18558.0,no
483,56.0,entrepreneur,married,secondary,no,339.0,no
484,59.0,admin.,divorced,primary,no,0.0,no
485,55.0,services,married,secondary,no,408.0,no
486,32.0,services,single,secondary,no,995.0,no
487,58.0,retired,divorced,tertiary,no,2086.0,no
488,33.0,technician,married,tertiary,no,-482.0,no
489,32.0,blue-collar,married,secondary,no,1148.0,no
490,32.0,technician,married,secondary,no,3322.0,no
491,30.0,technician,married,tertiary,no,1103.0,yes
492,45.0,services,married,unknown,no,9.0,no
493,36.0,admin.,married,secondary,no,-323.0,no
494,47.0,services,married,secondary,no,3333.0,yes
495,43.0,management,married,tertiary,no,28.0,no
496,52.0,housemaid,married,secondary,no,3923.0,no
497,39.0,management,divorced,tertiary,no,155.0,no
498,39.0,entrepreneur,divorced,tertiary,no,966.0,yes
499,36.0,admin.,single,secondary,no,8785.0,no
500,37.0,management,married,tertiary,no,900.0,no
501,51.0,admin.,single,secondary,no,2130.0,no
502,34.0,technician,single,secondary,no,475.0,no
503,52.0,admin.,married,secondary,no,5517.0,yes
504,47.0,housemaid,married,primary,no,1747.0,no
505,53.0,technician,divorced,tertiary,no,6503.0,no
506,37.0,self-employed,married,tertiary,no,1624.0,no
507,35.0,admin.,married,secondary,no,514.0,no
508,54.0,technician,married,secondary,no,1299.0,no
509,26.0,student,single,tertiary,no,5169.0,no
510,51.0,blue-collar,married,primary,no,620.0,yes
511,51.0,services,divorced,secondary,no,974.0,yes
512,29.0,services,married,secondary,no,368.0,no
513,31.0,blue-collar,married,secondary,no,10287.0,no
514,41.0,admin.,divorced,secondary,no,261.0,no
515,48.0,blue-collar,single,primary,no,755.0,no
516,35.0,blue-collar,divorced,secondary,no,3102.0,no
517,36.0,unemployed,married,secondary,no,-129.0,no
518,35.0,management,single,tertiary,no,2988.0,no
519,33.0,student,single,tertiary,no,3404.0,no
520,35.0,management,single,tertiary,no,2486.0,no
521,37.0,blue-collar,single,secondary,no,2235.0,no
522,44.0,technician,married,secondary,no,1226.0,yes
523,46.0,technician,married,tertiary,no,529.0,yes
524,36.0,management,single,tertiary,no,20.0,no
525,35.0,technician,single,secondary,no,204.0,no
526,49.0,admin.,divorced,secondary,no,502.0,no
527,51.0,services,single,secondary,no,513.0,no
528,49.0,management,single,tertiary,no,4465.0,no
529,57.0,services,married,secondary,no,1301.0,no
530,42.0,technician,married,secondary,no,994.0,no
531,49.0,management,married,unknown,no,126.0,no
532,33.0,blue-collar,single,primary,no,1.0,no
533,54.0,blue-collar,married,primary,no,244.0,no
534,47.0,technician,married,secondary,no,0.0,no
535,37.0,management,married,secondary,no,222.0,no
536,43.0,self-employed,married,secondary,no,5704.0,no
537,41.0,unemployed,married,secondary,no,274.0,no
538,39.0,housemaid,married,secondary,no,0.0,no
539,31.0,self-employed,single,tertiary,yes,-282.0,no
540,29.0,management,single,tertiary,no,-689.0,no
541,34.0,admin.,married,secondary,no,147.0,yes
542,30.0,admin.,married,secondary,no,312.0,no
543,49.0,technician,married,tertiary,no,1843.0,no
544,30.0,technician,married,secondary,no,239.0,no
545,33.0,self-employed,single,tertiary,no,1354.0,no
546,38.0,admin.,married,secondary,no,1283.0,no
547,34.0,management,single,tertiary,no,5284.0,no
548,34.0,services,divorced,secondary,no,5934.0,no
549,33.0,admin.,single,secondary,no,21854.0,no
550,34.0,management,married,secondary,no,56.0,no
551,42.0,self-employed,married,secondary,no,2130.0,yes
552,34.0,management,married,secondary,no,724.0,no
553,39.0,services,married,secondary,no,2381.0,yes
554,45.0,entrepreneur,married,tertiary,no,0.0,no
555,31.0,admin.,single,tertiary,no,117.0,no
556,38.0,management,married,tertiary,no,93.0,no
557,38.0,technician,single,secondary,no,28.0,yes
558,35.0,admin.,single,secondary,no,0.0,yes
559,43.0,management,married,primary,no,0.0,yes
560,40.0,services,married,secondary,no,2843.0,no
561,53.0,unemployed,married,secondary,no,329.0,no
562,29.0,entrepreneur,single,tertiary,no,402.0,yes
