시군명,접수일자,발견장소,상태,공고고유번호,공고시작일자,공고종료일자,품종,색상,나이,체중,성별,중성화여부,특징,보호소명,보호소전화번호,보호소도로명주소,보호소지번주소,보호소우편번호,관할기관
고양시,20210409,장항동903,보호중,경기-고양-2021-00334,20210410,20210420,[고양이] 한국 고양이,"검정,흰색",2017,5,M,Y,부상묘,고양시동물보호센터,031-962-3232,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 고양시동물보호센터,10563,경기도 고양시
고양시,20210409,행주외동 201,보호중,경기-고양-2021-00328,20210410,20210420,[개] 믹스견,황색,2021,2.6,F,U,강아지,고양시동물보호센터,031-962-3232,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 고양시동물보호센터,10563,경기도 고양시
김포시,20210409,감정동 나진하천 뚝방길,보호중,경기-김포-2021-00166,20210410,20210420,[개] 믹스견,흰,2019,12,F,U,양귀쫑긋. 오른뒷다리 들고있음/못디딤. 온순함. 얌전함. ,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1번지,11409,경기도 김포시
고양시,20210409,행주외동 201,보호중,경기-고양-2021-00329,20210410,20210420,[개] 믹스견,"황색, 검정",2021,2.8,M,U,강아지,고양시동물보호센터,031-962-3232,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 고양시동물보호센터,10563,경기도 고양시
화성시,20210409,우정읍 매향리 846,보호중,경기-화성-2021-00464,20210409,20210419,[개] 믹스견,갈색,2020,15,M,U,다리가 짧고 순하다. 몸에비해 얼굴이 큰편,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
화성시,20210409,송산면 쌍정리 39-1,보호중,경기-화성-2021-00463,20210409,20210419,[고양이] 한국 고양이,검정,2021,0.2,M,N,새끼고양이 5마리 같이들어옴,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
평택시,20210409,중앙2로,보호중,경기-평택-2021-00691,20210409,20210419,[개] 말티즈,흰색,2014,2.8,M,N,"심장병, 피부병살짝있음",평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86,경기도 평택시 진위면 야막리 85-4번지,17705,경기도 평택시
평택시,20210409,송담9길 111-8,보호중,경기-평택-2021-00690,20210409,20210419,[개] 믹스견,갈색,2021,3.4,F,N,"2개월추정, 온순함",평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86,경기도 평택시 진위면 야막리 85-4번지,17705,경기도 평택시
부천시,20210409,고강동 113번지,보호중,경기-부천-2021-00189,20210409,20210419,[개] 미니어쳐 핀셔,블랙탄,2015,3.5,F,U,치석.치은염,cj동물병원,032-323-4999,경기도 부천시 소향로 246,경기도 부천시 중동 1134번지 새롬프라자6차,14580,경기도 부천시
부천시,20210409,원종초등학교 근방,보호중,경기-부천-2021-00188,20210409,20210419,[개] 이탈리안 그레이 하운드,회색,2016,6.6,M,U,"잠복고환추정,순하고겁많음,이빨상태안좋음 ",24시아이동물메디컬,032-677-5262,경기도 부천시 소사로 779,경기도 부천시 원종동 229-8,14427,경기도 부천시
성남시,20210409,야탑동,보호중,경기-성남-2021-00175,20210409,20210419,[고양이] 한국 고양이,흑백색,2021,0.09,F,N,2일추정. 인공수유,펫토피아동물병원,031-714-8392,경기도 성남시 분당구 불정로 266,경기도 성남시 분당구 수내동 87-1번지 유신제일조합,13601,경기도 성남시
성남시,20210409,한솔마을,종료(반환),경기-성남-2021-00174,20210409,20210419,[개] 말티즈,백색,2018,3.94,M,N,칩 있어서 주인연락됨.,펫토피아동물병원,031-714-8392,경기도 성남시 분당구 불정로 266,경기도 성남시 분당구 수내동 87-1번지 유신제일조합,13601,경기도 성남시
수원시,20210409,권선구 율전로10(율전초등학교 앞),보호중,경기-수원-2021-00175,20210409,20210419,[개] 믹스견,흑갈,2017,9.5,M,N,동물등록되어있음.,수원시 동물보호센터,031-228-3557,경기도 수원시 영통구 광교호수로 234,경기도 수원시 영통구 하동 40-10번지 수원시 동물보호센터 하동 40-10,16511,경기도 수원시
수원시,20210409,팔달구 매산로46번길48,보호중,경기-수원-2021-00174,20210409,20210419,[개] 말티즈,흰,2021,3.6,M,N,173과 함께 발견,수원시 동물보호센터,031-228-3557,경기도 수원시 영통구 광교호수로 234,경기도 수원시 영통구 하동 40-10번지 수원시 동물보호센터 하동 40-10,16511,경기도 수원시
화성시,20210409,향남 발안리 19-1,보호중,경기-화성-2021-00472,20210409,20210419,[개] 믹스견,흰색,2021,2,F,N,"어미가 컨테이너 밑에 새끼낳고 감 , 새끼강아지5마리같이옴",남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
화성시,20210409,동탄중앙로 189 ,보호중,경기-화성-2021-00468,20210409,20210419,[고양이] 한국 고양이,"흰,검",2021,0.2,F,N,새끼고양이 4마리 같이 들어옴,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
화성시,20210409,송산면 쌍정리 39-1,보호중,경기-화성-2021-00460,20210409,20210419,[고양이] 한국 고양이,갈색,2021,0.2,F,N,새끼고양이 5마리 같이들어옴,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
화성시,20210409,양감면 대양리 42-9,보호중,경기-화성-2021-00456,20210409,20210419,[개] 믹스견,갈색,2018,13,M,U,주둥이가 길고 털이 연갈색이다 키가큰편,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
고양시,20210409,대화동 대화역부근,종료(반환),경기-고양-2021-00327,20210409,20210419,[개] 포메라니안,흰색,2019,7.5,F,U,연노랑색 하네스 착용,고양시동물보호센터,031-962-3232,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 고양시동물보호센터,10563,경기도 고양시
평택시,20210409,오성산단1로 905-2,보호중,경기-평택-2021-00692,20210409,20210419,[개] 믹스견,흰색,2014,25,F,N,경계함,평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86,경기도 평택시 진위면 야막리 85-4번지,17705,경기도 평택시
수원시,20210409,팔달구 매산로46번길48,보호중,경기-수원-2021-00173,20210409,20210419,[개] 믹스견,흰검,2021,2.3,M,N,174번과 함께 발견,수원시 동물보호센터,031-228-3557,경기도 수원시 영통구 광교호수로 234,경기도 수원시 영통구 하동 40-10번지 수원시 동물보호센터 하동 40-10,16511,경기도 수원시
평택시,20210409,소사1길 33,보호중,경기-평택-2021-00682,20210409,20210419,[고양이] 한국 고양이,기타,2021,0.2,Q,N,눈도못뜬 어린고양이,평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86,경기도 평택시 진위면 야막리 85-4번지,17705,경기도 평택시
평택시,20210409,권관리 520-3,보호중,경기-평택-2021-00678,20210409,20210419,[개] 믹스견,흰색,2021,2.4,F,N,온순함,평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86,경기도 평택시 진위면 야막리 85-4번지,17705,경기도 평택시
평택시,20210409,원석정용소길 25-8,보호중,경기-평택-2021-00670,20210409,20210419,[개] 믹스견,"흰,갈색",2017,9.6,F,N,경계함,평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86,경기도 평택시 진위면 야막리 85-4번지,17705,경기도 평택시
부천시,20210409,중동로 204,종료(자연사),경기-부천-2021-00195,20210409,20210419,[고양이] 한국 고양이,회갈흰,2018,3.4,F,N,"임신중,골반골절,장기손상의심,예후불량",24시아이동물메디컬,032-677-5262,경기도 부천시 소사로 779,경기도 부천시 원종동 229-8,14427,경기도 부천시
부천시,20210409,고강동,보호중,경기-부천-2021-00191,20210409,20210419,[개] 미니어쳐 핀셔,블랙탄,2020,2.6,F,N,사람을 잘 따르고 발랄함.,가야동물병원,032-655-3500,경기도 부천시 부천로 69,경기도 부천시 심곡동 367-12번지 가야동물병원,14630,경기도 부천시
하남시,20210409,광암동33-2,보호중,경기-하남-2021-00127,20210409,20210419,[고양이] 한국 고양이,치즈,2019,3,F,Y,교통사고로  후지마비,하남동물병원,031-793-7802,경기도 하남시 신평로 37,경기도 하남시 덕풍동 420-35번지 하남동물병원,12978,경기도 하남시
하남시,20210409,위례 남한산성 등산로주변,보호중,경기-하남-2021-00128,20210409,20210419,[개] 믹스견,갈 흰색,2019,15,M,N,유기견,하남동물병원,031-793-7802,경기도 하남시 신평로 37,경기도 하남시 덕풍동 420-35번지 하남동물병원,12978,경기도 하남시
화성시,20210409,송산면 쌍정리 39-1,보호중,경기-화성-2021-00462,20210409,20210419,[고양이] 한국 고양이,검정,2021,0.2,F,N,새끼고양이 5마리 같이들어옴,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
화성시,20210409,송산면 쌍정리 39-1,보호중,경기-화성-2021-00461,20210409,20210419,[고양이] 한국 고양이,검정,2021,0.2,F,N,새끼고양이 5마리 같이들어옴,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
화성시,20210409,송산면 쌍정리 39-1,보호중,경기-화성-2021-00459,20210409,20210419,[고양이] 한국 고양이,갈색,2021,0.2,M,N,새끼고양이 5마리 같이들어옴,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
화성시,20210409,양감면 대양리 42-9,보호중,경기-화성-2021-00458,20210409,20210419,[개] 믹스견,갈색,2020,10,M,U,"연갈색털,얼굴털이 몸털색보다 조금 짙고 코 가운데가 밝은색이다.",남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
화성시,20210409,양감면 대양리 42-9,보호중,경기-화성-2021-00457,20210409,20210419,[개] 믹스견,"갈색,검정",2019,5,F,U,"귀가 쳐져있고 중형견사이즈, 얌전하다",남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
화성시,20210409,마도면 백곡로 90-15,보호중,경기-화성-2021-00455,20210409,20210419,[개] 믹스견,흰색,2021,7,M,U,얼굴이 길쭉하고 사납진 않으며 겁이 많은 아이,남양유기견보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27,경기도 화성시 남양읍 북양리 12-2번지,18254,경기도 화성시
가평군,20210409,청평 유통 앞,보호중,경기-가평-2021-00067,20210409,20210419,[개] 믹스견,연갈,2019,18,M,N,"임초리 삼거리(아침고요수목원 부근) 주변 도로변 배회, 사람잘 따르며, 파랑색 목걸이 착용",가평군유기동물보호소,031-580-4748,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지 농업기술센터 가평 유기동물 보호소(10:00~18:00),12408,경기도 가평군
가평군,20210409,별빛누리 펜션,보호중,경기-가평-2021-00066,20210409,20210419,[개] 믹스견,흰색,2018,10,M,N,"덕현리 별빛누리 펜션 단지내, 마당에서 발견, 목걸이/목줄 X",가평군유기동물보호소,031-580-4748,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지 농업기술센터 가평 유기동물 보호소(10:00~18:00),12408,경기도 가평군
용인시,20210409,처인구 이동읍 상덕로 상덕낚시터,보호중,경기-용인-2021-00258,20210409,20210419,[개] 포메라니안,흰색,2011,2.4,M,U,순하고 귀여운 아이,용인시 동물보호센터,031-324-3463,경기도 용인시 처인구 중부대로 1074-1,경기도 용인시 처인구 삼가동 164번지 용인시 동물보호센터,17090,경기도 용인시
용인시,20210409,수지구 죽전동 내대지마을,보호중,경기-용인-2021-00257,20210409,20210419,[개] 푸들,갈색,2015,2.6,F,U,얌전하고 순한 아이,용인시 동물보호센터,031-324-3463,경기도 용인시 처인구 중부대로 1074-1,경기도 용인시 처인구 삼가동 164번지 용인시 동물보호센터,17090,경기도 용인시
